time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],phase
0.006,0.006,-0.5676248669624329,-53.77842144691626,0.23573356255074857,0.2530343441670072,sf
0.007,0.007,-0.2177933007478714,-52.185254982653326,0.23351530092189093,0.2553181727640699,f
0.008,0.008,0.35293611884117126,-50.5920885183904,0.21843189725167422,0.24693350739023948,f
0.009,0.009,1.6047650575637817,-48.99892205412747,0.21351365756064333,0.23544690420117284,f
0.01,0.01,4.016467571258545,-47.40575558986453,0.21631468559890807,0.2418275793182588,f
0.011,0.011,6.980329990386963,-44.165307429664495,0.21937101990079808,0.23545892260311188,f
0.012,0.012,10.238545417785645,-39.88850500810562,0.22430953798740472,0.2512619464957049,f
0.013,0.013,13.662261009216309,-35.410807889075826,0.2219979728876088,0.25225511971278075,f
0.014,0.014,16.699180603027344,-31.486554802467754,0.2211070719583968,0.25434604839168395,f
0.015,0.015,18.74164390563965,-28.59332967072694,0.2194152265797346,0.25545372106822734,f
0.016,0.016,19.95523452758789,-26.918286778186797,0.22095830099695085,0.25209192970046784,f
0.017,0.017,20.266315460205078,-26.307653017224307,0.22166710297194556,0.25001252575974486,f
0.018,0.018,20.853485107421875,-25.807437744363362,0.23498858402530795,0.2678568842286823,f
0.019,0.019,20.924909591674805,-25.87703438906982,0.24177699134166938,0.2726303255904368,f
0.02,0.02,21.21710777282715,-25.8204324896402,0.2384151384495387,0.27072135282767423,f
0.021,0.021,21.987863540649414,-25.571419807547304,0.2288722915854039,0.2578470546229223,f
0.022,0.022,22.27960968017578,-25.694694457766115,0.22921040611388052,0.2546639217257055,f
0.023,0.023,23.47343635559082,-24.72760707634126,0.22870270977832122,0.2533845337638822,f
0.024,0.024,26.305953979492188,-21.93614830949441,0.23230132127110734,0.25242498939320285,f
0.025,0.025,30.906044006347656,-17.5170354133502,0.23202109509571708,0.2563311180615498,f
0.026,0.026,37.052589416503906,-11.504980679756374,0.2346370738514038,0.25463605573539755,f
0.027,0.027,44.266883850097656,-4.63098266701873,0.23078736331153257,0.2541022719117441,f
0.028,0.028,50.39452362060547,1.4937920448926292,0.21579226618970168,0.23686395757835335,f
0.029,0.029,55.03057861328125,6.38158848036371,0.2083385399142649,0.23098750670265844,f
0.03,0.03,57.40159225463867,9.460295368699855,0.2156330244509418,0.23691268257230536,f
