Time [s],Phi [rad],STIM [ ],Fsee [N],Gamma [ ],Lcerel [ ],q [ ],Lmtc [m],fisomrel [ ]
0.0,1.8,1.0,14.751035757403491,0.0005716439233130195,1.4219086793892821,0.005093841045904566,0.27935299999999996,0.43237584903058657
0.0005,1.79999375,1.0,15.246825248614424,0.006177646761892257,1.4218379929526994,0.015639639077816684,0.2793527375,0.43256603221185697
0.001,1.799975,1.0,18.976171641829524,0.011752204357073746,1.4213521740852566,0.04223071020416124,0.27935195,0.43387227485212887
0.0015,1.79994375,1.0,29.616574741171053,0.017295493092409533,1.420190496622999,0.08184458714082979,0.2793506375,0.4369896254710379
0.002,1.7999,1.0,54.96832504481191,0.022807688359849133,1.418087548035097,0.1306042579825796,0.2793488,0.4426109763329098
0.0025,1.79984375,1.0,100.98342664637927,0.02828896457126062,1.4152786258693846,0.1846550424918443,0.2793464375,0.45007545566337925
0.003,1.7997750000000001,1.0,163.5293686526546,0.03373949515648313,1.4123538694866955,0.24088134699987138,0.27934355,0.457794280355068
0.0035,1.79969375,1.0,235.36657375533585,0.039159452574395986,1.409618079167374,0.29694607441161464,0.2793401375,0.46496501664295575
0.004,1.7996,1.0,312.2217472873903,0.04454900831000629,1.4071141600718309,0.35117336935589477,0.2793362,0.47148616284760103
0.0045000000000000005,1.7994937500000001,1.0,391.9915156101836,0.04990833291929304,1.4048141397240428,0.40247417820875786,0.2793317375,0.47744104680957644
0.005,1.799375,1.0,473.406849225196,0.055237595932164665,1.4026870776091989,0.45023850640174395,0.27932675,0.4829181043576628
0.0055,1.79924375,1.0,555.5476901004796,0.06053696601476687,1.4007088659755451,0.4942100559060315,0.2793212375,0.48798598446617547
0.006,1.7991000000000001,1.0,637.6508479872136,0.06580661079444328,1.3988620500611777,0.5343743796605599,0.2793152,0.4926947226434777
0.006500000000000001,1.79894375,1.0,719.1014851319773,0.07104669707390213,1.397132824062501,0.5708695880217083,0.2793086375,0.4970839287376999
0.007,1.798775,1.0,799.3742995292806,0.07625739050897187,1.3955104300857286,0.6039221615443827,0.27930155,0.5011846291243687
0.0075,1.79859375,1.0,878.075588043786,0.08143885625632906,1.3939851917259634,0.6338017407875758,0.2792939375,0.5050244537648467
0.008,1.7984,1.0,954.8632579387348,0.08659125795167028,1.3925493020454307,0.6607927343576916,0.27928580000000003,0.5086257827284606
